,Solar,Wind,Waste,Biogas,Sewage_gas,Biomass_1_crops,Biomass_2_waste
2020-01-07 14:00:00,415053.97614939377,5536.805,,,,,
2020-01-07 15:00:00,211254.69797691025,7174.393,,,,,
2020-01-07 16:00:00,51904.819269147476,9481.876,,,,,
2020-01-07 17:00:00,601.0731397174665,8606.259,,,,,
2020-01-07 18:00:00,80.6791598809176,8755.408,,,,,
2020-01-07 19:00:00,34.98502809004515,6605.173000000001,,,,,
2020-01-07 20:00:00,27.83584561944719,4627.0830000000005,,,,,
2020-01-07 21:00:00,26.429481133439005,1936.8310000000001,,,,,
2020-01-07 22:00:00,31.211902786137227,2606.977,,,,,
2020-01-07 23:00:00,17.492514045022574,1924.708,,,,,
2020-01-08 00:00:00,19.401585665205584,3281.695,,,,,
2020-01-08 01:00:00,36.45596870935594,3025.101,,,,,
2020-01-08 02:00:00,21.081791541444275,4882.639,,,,,
2020-01-08 03:00:00,15.23530101283257,7039.067,,,,,
2020-01-08 04:00:00,21.52384803507634,5842.666,,,,,
2020-01-08 05:00:00,59.38813831706542,6021.535,,,,,
2020-01-08 06:00:00,72.78088527236964,9236.437,,,,,
2020-01-08 07:00:00,138.33629847625764,11092.712,,,,,
2020-01-08 08:00:00,6493.367834961416,11957.731,,,,,
2020-01-08 09:00:00,109371.31348387276,9546.615,,,,,
2020-01-08 10:00:00,301268.09800562024,11669.318,,,,,
2020-01-08 11:00:00,470048.42426186835,6260.197,,,,,
2020-01-08 12:00:00,574834.363977383,4892.102,,,,,
2020-01-08 13:00:00,533139.4859618843,3373.765,,,,,
2020-01-08 14:00:00,437453.21266371134,3646.758,,,,,
2020-01-08 15:00:00,259874.25850628273,3824.817,,,,,
2020-01-08 16:00:00,74948.24131659523,3908.572,,,,,
2020-01-08 17:00:00,1002.4687234286569,4014.7,,,,,
2020-01-08 18:00:00,91.17317381052149,3251.704,,,,,
2020-01-08 19:00:00,84.9922069084094,3663.476,,,,,
2020-01-08 20:00:00,59.80867878667114,4084.776,,,,,
2020-01-08 21:00:00,47.70689327294729,5620.442,,,,,
2020-01-08 22:00:00,29.013380398426698,4754.805,,,,,
2020-01-08 23:00:00,19.8671141850482,5797.839,,,,,
2020-01-09 00:00:00,17.24019188553209,7882.366,,,,,
2020-01-09 01:00:00,17.82308015214073,21260.62,,,,,
2020-01-09 02:00:00,18.30816837401638,29414.649,,,,,
2020-01-09 03:00:00,18.861716627205123,25956.514,,,,,
2020-01-09 04:00:00,29.854441655193586,18984.756,,,,,
2020-01-09 05:00:00,49.26775053469279,15312.882,,,,,
2020-01-09 06:00:00,70.05612804313789,19663.956,,,,,
2020-01-09 07:00:00,119.91263484712331,19943.502,,,,,
2020-01-09 08:00:00,12750.757116098916,21538.353000000003,,,,,
2020-01-09 09:00:00,146250.54484188216,25170.612,,,,,
2020-01-09 10:00:00,365725.6692481277,22949.594,,,,,
2020-01-09 11:00:00,578439.6496658777,24205.701,,,,,
2020-01-09 12:00:00,717466.088579509,29878.015,,,,,
2020-01-09 13:00:00,689298.9637120812,23356.662,,,,,
2020-01-09 14:00:00,498879.860955838,17851.877,,,,,
2020-01-09 15:00:00,305526.385217435,21127.757,,,,,
2020-01-09 16:00:00,86714.34511447913,28177.985,,,,,
2020-01-09 17:00:00,1562.7840788055014,40569.277,,,,,
2020-01-09 18:00:00,130.81929583574674,49800.037,,,,,
2020-01-09 19:00:00,97.79222072941484,48854.127,,,,,
2020-01-09 20:00:00,51.05357935151725,52530.224,,,,,
2020-01-09 21:00:00,27.033888365094057,53680.865,,,,,
2020-01-09 22:00:00,23.303794658977683,47488.219,,,,,
2020-01-09 23:00:00,23.6245788057019,44763.901,,,,,
2020-01-10 00:00:00,19.41523047478861,49189.045,,,,,
2020-01-10 01:00:00,21.27147203438708,49640.622,,,,,
2020-01-10 02:00:00,17.289061270064128,50614.388,,,,,
2020-01-10 03:00:00,19.69493810705687,45869.955,,,,,
2020-01-10 04:00:00,23.710600827663466,36475.978,,,,,
2020-01-10 05:00:00,54.77770798372507,40157.431,,,,,
2020-01-10 06:00:00,70.73473500501517,44882.744,,,,,
2020-01-10 07:00:00,101.98570591935102,40533.1,,,,,
2020-01-10 08:00:00,6529.759027323156,38331.771,,,,,
2020-01-10 09:00:00,97720.45792687428,38876.173,,,,,
2020-01-10 10:00:00,296030.4347206673,34679.812000000005,,,,,
2020-01-10 11:00:00,470731.61644095276,30421.57,,,,,
2020-01-10 12:00:00,564365.6456162566,28880.404000000002,,,,,
2020-01-10 13:00:00,523818.2238159685,35547.691,,,,,
2020-01-10 14:00:00,395874.46428768104,24453.957000000002,,,,,
2020-01-10 15:00:00,205761.82821684092,24925.025999999998,,,,,
2020-01-10 16:00:00,58469.01743075904,19980.438000000002,,,,,
2020-01-10 17:00:00,1021.8619565576707,19984.588,,,,,
2020-01-10 18:00:00,63.47407255061105,19428.068,,,,,
2020-01-10 19:00:00,53.67256943665117,18574.646,,,,,
2020-01-10 20:00:00,35.612845179777985,12792.242,,,,,
2020-01-10 21:00:00,26.323813392071845,6240.79,,,,,
2020-01-10 22:00:00,27.225528206587015,5974.473,,,,,
2020-01-10 23:00:00,21.502279730944107,3829.968,,,,,
2020-01-11 00:00:00,17.3243107352674,1124.897,,,,,
2020-01-11 01:00:00,18.03825150735418,603.862,,,,,
2020-01-11 02:00:00,35.90828683279203,568.106,,,,,
2020-01-11 03:00:00,20.800126494166598,485.693,,,,,
2020-01-11 04:00:00,20.264181914572685,226.233,,,,,
2020-01-11 05:00:00,38.2476653626983,441.517,,,,,
2020-01-11 06:00:00,53.92697831899314,2281.311,,,,,
2020-01-11 07:00:00,83.90662274029194,2473.639,,,,,
2020-01-11 08:00:00,5581.497024075019,2893.893,,,,,
2020-01-11 09:00:00,98300.76211074388,5604.52,,,,,
2020-01-11 10:00:00,284655.29981069214,12060.909,,,,,
2020-01-11 11:00:00,500317.86122161924,6780.481,,,,,
2020-01-11 12:00:00,601706.6401558795,2422.773,,,,,
2020-01-11 13:00:00,569486.5439676582,1283.526,,,,,
2020-01-11 14:00:00,421032.5927470619,940.979,,,,,
2020-01-11 15:00:00,244529.9213173528,869.864,,,,,
2020-01-11 16:00:00,74239.85295022426,1741.892,,,,,
2020-01-11 17:00:00,2175.3951365674534,774.282,,,,,
2020-01-11 18:00:00,109.00017387755575,241.73199999999997,,,,,
2020-01-11 19:00:00,91.11057853096484,1072.991,,,,,
2020-01-11 20:00:00,49.75678180916024,2662.375,,,,,
2020-01-11 21:00:00,84.37019524161953,3666.126,,,,,
2020-01-11 22:00:00,42.245733686384256,4171.026,,,,,
2020-01-11 23:00:00,28.733671073848722,2795.045,,,,,
2020-01-12 00:00:00,28.91358894817081,1916.25,,,,,
